,Bechmark_Data,Algorithm_Ref,alpha,alpha_pvalue,beta,beta_pvalue,delta,delta_pvalue,gamma,gamma_pvalue
1,Missiaglia,Ensemble,0.0155028646973463,0.894975079152664,-0.333815765981278,0.00342440263257833,0.444266251104916,6.52934784715736e-05,-0.140308093656452,0.229889026391098
2,Missiaglia,Baron,-0.138251801859368,0.23685818396,-0.119402547488195,0.30756518481652,0.124589460713381,0.286871315963782,0.142922630353604,0.221235871753727
3,Missiaglia,Segerstolpe,0.0632252398859486,0.589962956455535,0.0376953514298309,0.748147942975891,0.198425420377846,0.0879027030164226,0.167105043551043,0.151868430254011
4,Missiaglia,Lawlor,-0.278454583543809,0.0155616763207375,0.121380830541587,0.299561233623835,-0.116570479899276,0.319262498315422,0.0326069502442337,0.781230835424385
5,RepSet,Ensemble,-0.134063497978221,0.320110626873529,-0.211467578851589,0.114315318322673,0.152877979062926,0.256240643110133,0.201945667245987,0.131952488230944
6,RepSet,Baron,-0.126419393305474,0.348724100146255,-0.0793278831333001,0.557492993155869,0.0648013164256215,0.632006789144312,0.128045362306788,0.342509267389828
7,RepSet,Segerstolpe,0.072565192616003,0.591664360721417,0.313688646983532,0.0174945972712075,0.290344418548896,0.0284574071499475,-0.312220381558475,0.0180578385243306
8,RepSet,Lawlor,-0.288642218605871,0.0294433042587806,0.00935933006010066,0.944912094341603,0.2401599472178,0.0719500533385116,-0.157033121184775,0.243387022224569
9,Riemer,Ensemble,-0.187641858743005,0.246271294324711,0.199348276125767,0.217488914597824,-0.039354568551096,0.809476962332796,-0.206387025408339,0.201347002692644
10,Riemer,Baron,0.164852283544555,0.309376030345531,0.160849853061746,0.321431407992451,-0.04285815488553,0.792871157087257,-0.262320219743213,0.102001079105413
11,Riemer,Segerstolpe,-0.156147597920896,0.335965417508575,0.174372388748928,0.281869989436221,-0.0410873375991472,0.801253450230747,-0.261700839133702,0.102842415329011
12,Riemer,Lawlor,-0.264394412981224,0.099221850607392,0.321536273323782,0.043055785035762,0.091430402709771,0.574731027140909,-0.227505305306828,0.157998500552907
13,Sadanandam,Ensemble,-0.0921339088857915,0.634541128117889,0.116664070707004,0.546719033732137,0.145948065082008,0.44998422106553,-0.261942624818618,0.169857235379315
14,Sadanandam,Baron,-0.360180537355126,0.0549474144830752,-0.361598511039137,0.0539293918502523,-0.0593651567330455,0.759681804149918,0.360975618254159,0.0543747488468487
15,Sadanandam,Segerstolpe,-0.141511596156489,0.46402246113713,-0.105865472905747,0.584677202076448,0.200274577189705,0.297563983976239,0.238011546831526,0.213752561168376
16,Sadanandam,Lawlor,-0.39700449435589,0.0329728864183438,-0.392089122578858,0.0354085695880755,0.448755864867854,0.0146151267184336,-0.425768200439967,0.0212898437048041
17,Scarpa,Ensemble,-0.0670157053959792,0.729790161489261,0.21969117921287,0.252171674291979,-0.0569232133460503,0.769296833743912,-0.202663105062013,0.291718955928601
18,Scarpa,Baron,-0.0350454910179209,0.856776257357538,0.0182767369737849,0.925028519004578,-0.0352252218984766,0.856049284001799,0.0291776774668981,0.880569958725068
19,Scarpa,Segerstolpe,-0.0681081668295589,0.725552066587524,0.212877956650298,0.26754886373412,-0.0750815592929673,0.698690693718279,-0.194046435378226,0.313149554515784
20,Scarpa,Lawlor,-0.15829045650022,0.412151166555729,0.211034053858542,0.271812756316362,0.0262058321249662,0.892660880253823,-0.122328562291506,0.527279949179187
